sha256,count,locations,splits,classes
0033d6b3f444134e4d3a320b4c9e34cdbc4ffe1fdb90023673ed1df46c643314,2,chest_xray\train\PNEUMONIA\person1159_virus_1944.jpeg;chest_xray\train\PNEUMONIA\person1159_virus_1945.jpeg,train,PNEUMONIA
1679da3844455b96ea5e792b12d24a832c4dba570628c27cb594fbfd7e2c9914,2,chest_xray\train\PNEUMONIA\person124_virus_246.jpeg;chest_xray\train\PNEUMONIA\person124_virus_247.jpeg,train,PNEUMONIA
1e273d0058cfb3cf5fb401b74797903a3e66c75fd2dbd8d14f4ef0890013d7c4,2,chest_xray\train\PNEUMONIA\person1261_virus_2147.jpeg;chest_xray\train\PNEUMONIA\person1261_virus_2148.jpeg,train,PNEUMONIA
3853a4552e0bc9aea1f45b2e7ee27be5954cdf9a0365d7972663b62b5495d9ae,2,chest_xray\train\NORMAL\NORMAL2-IM-0587-0001-0001.jpeg;chest_xray\train\NORMAL\NORMAL2-IM-0587-0001-0002.jpeg,train,NORMAL
409f0f6c0f8a5b8ed4e0645633b07812aff5991aaee75bbe48044711a55c7c2c,2,chest_xray\test\NORMAL\NORMAL2-IM-0173-0001-0001.jpeg;chest_xray\test\NORMAL\NORMAL2-IM-0173-0001-0002.jpeg,test,NORMAL
4d9f500ccfdde23bd7deb003994aeaf41537834458287bea61e9e80e78e8b091,2,chest_xray\train\PNEUMONIA\person1481_bacteria_3866.jpeg;chest_xray\train\PNEUMONIA\person1481_bacteria_3867.jpeg,train,PNEUMONIA
4e4df8461fc3412959b5c34abb54977332738400aeab75689b2c33ef00e27f99,2,chest_xray\train\PNEUMONIA\person1496_bacteria_3909.jpeg;chest_xray\train\PNEUMONIA\person1496_bacteria_3910.jpeg,train,PNEUMONIA
514afd0fa610117fbfef0e6e5b81a4d73a24815827594119af684fb8d0b2f8e2,2,chest_xray\test\PNEUMONIA\person1661_virus_2872.jpeg;chest_xray\test\PNEUMONIA\person1661_virus_2873.jpeg,test,PNEUMONIA
5824d55942d95216b7808fafa10db02aeaf63485a1a4f480faa951794a2d28b3,2,chest_xray\test\PNEUMONIA\person128_bacteria_606.jpeg;chest_xray\test\PNEUMONIA\person128_bacteria_607.jpeg,test,PNEUMONIA
704f62a1b29b3ae0ef1995610cc7cd63d9f0393bb5b653ded033cbcd1c92d409,2,chest_xray\train\PNEUMONIA\person1628_bacteria_4297.jpeg;chest_xray\train\PNEUMONIA\person1628_bacteria_4298.jpeg,train,PNEUMONIA
81090d9a66e23b331d1d91295274231e32ba1a9a7df08ba3290f760e6cbdded3,3,chest_xray\train\PNEUMONIA\person258_bacteria_1207.jpeg;chest_xray\train\PNEUMONIA\person258_bacteria_1208.jpeg;chest_xray\train\PNEUMONIA\person258_bacteria_1209.jpeg,train,PNEUMONIA
8b49e842fd5339e19fab416624e289d1f65cd4fa8520f32d8050ef70dca2d569,2,chest_xray\train\PNEUMONIA\person1619_bacteria_4267.jpeg;chest_xray\train\PNEUMONIA\person1619_bacteria_4268.jpeg,train,PNEUMONIA
8c917bd0806be2f87778e3a816faf52f50111695dbeb9ec429c28c213b18986a,2,chest_xray\train\PNEUMONIA\person266_bacteria_1237.jpeg;chest_xray\train\PNEUMONIA\person266_bacteria_1238.jpeg,train,PNEUMONIA
8edeff0608499ec100441bf223eb543853476f929d91c173c6e27b740922e059,2,chest_xray\train\PNEUMONIA\person30_bacteria_156.jpeg;chest_xray\train\PNEUMONIA\person30_bacteria_157.jpeg,train,PNEUMONIA
9217ffd910b2b01554e4a8aeeba0ce52318bc3a67132c8ba7e3a995835d13c13,3,chest_xray\train\PNEUMONIA\person1372_bacteria_3501.jpeg;chest_xray\train\PNEUMONIA\person1372_bacteria_3502.jpeg;chest_xray\train\PNEUMONIA\person1372_bacteria_3503.jpeg,train,PNEUMONIA
93d9851b858e539bee80dac11449566db6c4b027ca84ae04ebbc0e2cdc19cd40,2,chest_xray\train\PNEUMONIA\person1481_bacteria_3864.jpeg;chest_xray\train\PNEUMONIA\person1481_bacteria_3865.jpeg,train,PNEUMONIA
9abe31146a4e6e0bd87509d744b97ea28b291f58e7acd14640b671967851be2e,2,chest_xray\train\PNEUMONIA\person1312_bacteria_3317.jpeg;chest_xray\train\PNEUMONIA\person1312_bacteria_3318.jpeg,train,PNEUMONIA
