hamming_distance,left_path,left_split,left_class,right_path,right_split,right_class,same_sha256
2,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0241-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0276-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0292-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0316-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0338-0001.jpeg,train,NORMAL,False
3,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0362-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0388-0001.jpeg,train,NORMAL,False
2,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0391-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0421-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0438-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0488-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0501-0001-0001.jpeg,train,NORMAL,False
3,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0533-0001-0001.jpeg,train,NORMAL,False
3,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0543-0001.jpeg,train,NORMAL,False
3,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0694-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\IM-0748-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\NORMAL2-IM-0468-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\NORMAL2-IM-0552-0001.jpeg,train,NORMAL,False
4,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\NORMAL2-IM-0815-0001.jpeg,train,NORMAL,False
3,chest_xray\train\NORMAL\IM-0115-0001.jpeg,train,NORMAL,chest_xray\train\NORMAL\NORMAL2-IM-0885-0001.jpeg,train,NORMAL,False
